"subjectID","wave","task","nVols","percent"
NA,NA,NA,800,2.7
"TPOT002",1,"affect_acq-1",0,0
"TPOT002",1,"affect_acq-2",0,0
"TPOT002",1,"rest",0,0
"TPOT004",1,"affect_acq-1",0,0
"TPOT004",1,"affect_acq-2",0,0
"TPOT004",1,"rest",0,0
"TPOT005",1,"affect_acq-1",0,0
"TPOT005",1,"affect_acq-2",0,0
"TPOT005",1,"rest",0,0
"TPOT006",1,"affect_acq-1",3,1.6
"TPOT006",1,"affect_acq-2",0,0
"TPOT006",1,"rest",12,1.6
"TPOT007",1,"affect_acq-1",0,0
"TPOT007",1,"affect_acq-2",0,0
"TPOT008",1,"affect_acq-1",0,0
"TPOT008",1,"affect_acq-2",1,0.5
"TPOT008",1,"rest",0,0
"TPOT009",1,"affect_acq-1",0,0
"TPOT009",1,"affect_acq-2",0,0
"TPOT009",1,"rest",0,0
"TPOT010",1,"affect_acq-1",1,0.5
"TPOT010",1,"affect_acq-2",0,0
"TPOT010",1,"rest",0,0
"TPOT011",1,"affect_acq-1",1,0.5
"TPOT011",1,"affect_acq-2",3,1.6
"TPOT011",1,"rest",2,0.3
"TPOT013",1,"affect_acq-1",0,0
"TPOT013",1,"affect_acq-2",0,0
"TPOT013",1,"rest",0,0
"TPOT014",1,"affect_acq-1",3,1.6
"TPOT014",1,"affect_acq-2",0,0
"TPOT014",1,"rest",11,1.5
"TPOT015",1,"affect_acq-1",102,55.1
"TPOT015",1,"affect_acq-2",54,36.5
"TPOT015",1,"rest",103,13.7
"TPOT016",1,"affect_acq-1",2,1.1
"TPOT016",1,"affect_acq-2",4,2.2
"TPOT016",1,"rest",0,0
"TPOT017",1,"affect_acq-1",0,0
"TPOT017",1,"affect_acq-2",0,0
"TPOT017",1,"rest",0,0
"TPOT018",1,"affect_acq-1",2,1.1
"TPOT018",1,"affect_acq-2",13,7
"TPOT018",1,"rest",1,0.1
"TPOT019",1,"affect_acq-1",0,0
"TPOT019",1,"affect_acq-2",0,0
"TPOT019",1,"rest",0,0
"TPOT020",1,"affect_acq-1",3,1.6
"TPOT020",1,"affect_acq-2",2,1.1
"TPOT020",1,"rest",0,0
"TPOT021",1,"affect_acq-1",1,0.5
"TPOT021",1,"affect_acq-2",4,2.2
"TPOT021",1,"rest",0,0
"TPOT023",1,"affect_acq-1",0,0
"TPOT023",1,"affect_acq-2",1,0.5
"TPOT023",1,"rest",0,0
"TPOT024",1,"affect_acq-1",1,0.5
"TPOT024",1,"affect_acq-2",4,2.2
"TPOT024",1,"rest",0,0
"TPOT025",1,"affect_acq-1",0,0
"TPOT025",1,"affect_acq-2",6,3.2
"TPOT025",1,"rest",0,0
"TPOT026",1,"affect_acq-1",15,8.1
"TPOT026",1,"affect_acq-2",3,1.6
"TPOT026",1,"rest",0,0
"TPOT027",1,"affect_acq-1",0,0
"TPOT027",1,"affect_acq-2",0,0
